iter	Passed	Remaining
0	80	40008
1	127	31863
2	177	29464
3	226	28054
4	275	27301
5	323	26611
6	370	26119
7	418	25711
8	468	25542
9	518	25411
10	577	25655
11	635	25857
12	701	26277
13	759	26356
14	810	26213
15	857	25932
16	905	25717
17	956	25621
18	1011	25600
19	1067	25614
20	1115	25449
21	1165	25314
22	1214	25187
23	1264	25080
24	1312	24943
25	1361	24817
26	1410	24708
27	1458	24590
28	1509	24522
29	1555	24373
30	1604	24268
31	1651	24158
32	1701	24076
33	1749	23971
34	1798	23894
35	1847	23814
36	1895	23719
37	1942	23617
38	1989	23515
39	2034	23397
40	2084	23333
41	2134	23279
42	2183	23210
43	2228	23091
44	2274	22993
45	2320	22901
46	2368	22827
47	2415	22750
48	2462	22665
49	2509	22586
50	2556	22504
51	2605	22445
52	2652	22371
53	2699	22294
54	2752	22273
55	2798	22185
56	2842	22091
57	2887	22001
58	2933	21930
59	2980	21858
60	3026	21780
61	3073	21713
62	3122	21661
63	3170	21595
64	3217	21535
65	3266	21482
66	3312	21407
67	3358	21337
68	3404	21264
69	3448	21186
70	3496	21125
71	3541	21052
72	3586	20977
73	3635	20927
74	3692	20922
75	3736	20848
76	3785	20793
77	3832	20732
78	3877	20665
79	3922	20591
80	3969	20532
81	4014	20466
82	4061	20407
83	4109	20351
84	4155	20286
85	4201	20226
86	4248	20167
87	4297	20122
88	4343	20059
89	4392	20009
90	4438	19949
91	4485	19892
92	4532	19833
93	4579	19777
94	4626	19724
95	4676	19678
96	4724	19628
97	4773	19579
98	4834	19582
99	4887	19549
100	4939	19513
101	4993	19483
102	5049	19461
103	5099	19416
104	5148	19369
105	5198	19322
106	5239	19245
107	5285	19183
108	5332	19128
109	5379	19072
110	5425	19013
111	5474	18964
112	5523	18917
113	5573	18872
114	5621	18818
115	5668	18765
116	5713	18703
117	5759	18644
118	5803	18581
119	5851	18531
120	5899	18477
121	5943	18416
122	5989	18358
123	6035	18301
124	6081	18245
125	6126	18186
126	6170	18122
127	6213	18057
128	6258	17999
129	6306	17947
130	6351	17890
131	6397	17834
132	6442	17776
133	6489	17725
134	6535	17668
135	6581	17615
136	6634	17578
137	6680	17524
138	6727	17472
139	6771	17411
140	6818	17359
141	6863	17302
142	6906	17241
143	6952	17188
144	6996	17129
145	7040	17070
146	7085	17014
147	7129	16955
148	7175	16904
149	7219	16845
150	7264	16789
151	7308	16731
152	7349	16668
153	7395	16614
154	7439	16558
155	7482	16499
156	7525	16441
157	7567	16381
158	7611	16324
159	7653	16263
160	7698	16208
161	7743	16155
162	7786	16098
163	7830	16042
164	7872	15983
165	7913	15922
166	7956	15864
167	7999	15807
168	8042	15752
169	8085	15695
170	8126	15634
171	8168	15576
172	8211	15521
173	8257	15470
174	8300	15414
175	8342	15358
176	8386	15303
177	8429	15249
178	8472	15193
179	8515	15138
180	8557	15081
181	8601	15028
182	8643	14972
183	8689	14922
184	8733	14870
185	8773	14811
186	8818	14760
187	8859	14703
188	8902	14649
189	8944	14594
190	8987	14539
191	9030	14487
192	9074	14435
193	9122	14388
194	9167	14338
195	9213	14289
196	9258	14239
197	9303	14190
198	9352	14146
199	9395	14093
200	9437	14039
201	9479	13985
202	9522	13932
203	9564	13878
204	9606	13824
205	9650	13772
206	9698	13727
207	9741	13675
208	9783	13622
209	9827	13571
210	9869	13517
211	9915	13469
212	9957	13417
213	9999	13364
214	10044	13314
215	10087	13263
216	10134	13216
217	10178	13166
218	10220	13114
219	10263	13062
220	10306	13010
221	10351	12962
222	10394	12911
223	10438	12861
224	10483	12812
225	10529	12765
226	10577	12721
227	10622	12672
228	10667	12623
229	10714	12577
230	10760	12530
231	10806	12483
232	10853	12437
233	10898	12389
234	10944	12341
235	10989	12293
236	11037	12248
237	11084	12202
238	11130	12155
239	11177	12108
240	11220	12058
241	11267	12012
242	11314	11966
243	11360	11919
244	11409	11875
245	11456	11829
246	11502	11781
247	11549	11735
248	11596	11689
249	11643	11643
250	11691	11598
251	11741	11555
252	11788	11508
253	11831	11459
254	11879	11413
255	11925	11366
256	11969	11317
257	12015	11270
258	12063	11225
259	12108	11176
260	12151	11127
261	12194	11077
262	12236	11026
263	12275	10973
264	12317	10923
265	12360	10873
266	12402	10823
267	12444	10773
268	12485	10721
269	12528	10672
270	12569	10621
271	12612	10572
272	12657	10524
273	12700	10475
274	12744	10427
275	12791	10381
276	12837	10335
277	12880	10285
278	12923	10236
279	12965	10186
280	13010	10139
281	13054	10091
282	13097	10043
283	13139	9993
284	13187	9948
285	13233	9901
286	13278	9854
287	13320	9805
288	13365	9758
289	13409	9710
290	13454	9663
291	13500	9616
292	13547	9571
293	13595	9525
294	13641	9479
295	13684	9430
296	13729	9383
297	13772	9335
298	13817	9288
299	13860	9240
300	13901	9190
301	13943	9141
302	13983	9091
303	14025	9042
304	14067	8994
305	14110	8945
306	14154	8898
307	14197	8850
308	14242	8803
309	14288	8757
310	14331	8709
311	14372	8660
312	14415	8612
313	14458	8564
314	14501	8517
315	14548	8471
316	14593	8424
317	14640	8378
318	14685	8332
319	14733	8287
320	14782	8243
321	14826	8195
322	14868	8147
323	14909	8099
324	14951	8050
325	14992	8002
326	15032	7952
327	15072	7903
328	15113	7855
329	15157	7808
330	15197	7759
331	15237	7710
332	15278	7662
333	15319	7613
334	15362	7566
335	15403	7518
336	15443	7469
337	15483	7420
338	15522	7372
339	15564	7324
340	15604	7276
341	15644	7227
342	15695	7184
343	15738	7137
344	15779	7089
345	15819	7041
346	15863	6994
347	15908	6948
348	15952	6901
349	15998	6856
350	16046	6811
351	16089	6765
352	16136	6719
353	16180	6673
354	16223	6626
355	16264	6578
356	16304	6530
357	16347	6484
358	16388	6436
359	16427	6388
360	16467	6340
361	16508	6293
362	16552	6246
363	16593	6199
364	16637	6153
365	16683	6108
366	16727	6062
367	16773	6016
368	16820	5971
369	16863	5924
370	16907	5878
371	16950	5832
372	16995	5786
373	17041	5741
374	17085	5695
375	17127	5648
376	17171	5602
377	17219	5557
378	17268	5513
379	17315	5468
380	17361	5422
381	17406	5376
382	17451	5331
383	17531	5296
384	17575	5249
385	17619	5203
386	17664	5157
387	17713	5113
388	17760	5067
389	17805	5022
390	17853	4977
391	17898	4931
392	17947	4886
393	17994	4841
394	18039	4795
395	18085	4749
396	18129	4703
397	18177	4658
398	18222	4612
399	18265	4566
400	18309	4520
401	18351	4473
402	18396	4427
403	18439	4381
404	18484	4335
405	18529	4290
406	18573	4243
407	18618	4198
408	18646	4148
409	18693	4103
410	18738	4057
411	18783	4012
412	18830	3966
413	18876	3921
414	18922	3875
415	18965	3829
416	19011	3783
417	19058	3738
418	19105	3693
419	19150	3647
420	19198	3602
421	19245	3557
422	19290	3511
423	19335	3465
424	19381	3420
425	19429	3374
426	19473	3329
427	19522	3284
428	19565	3238
429	19607	3191
430	19651	3146
431	19690	3099
432	19731	3053
433	19770	3006
434	19811	2960
435	19852	2914
436	19893	2867
437	19933	2821
438	19974	2775
439	20018	2729
440	20059	2683
441	20100	2637
442	20145	2592
443	20185	2545
444	20224	2499
445	20266	2453
446	20306	2407
447	20346	2361
448	20392	2316
449	20439	2271
450	20479	2224
451	20519	2179
452	20557	2132
453	20597	2086
454	20635	2040
455	20676	1995
456	20715	1949
457	20755	1903
458	20795	1857
459	20834	1811
460	20875	1766
461	20919	1720
462	20962	1675
463	21002	1629
464	21043	1583
465	21084	1538
466	21123	1492
467	21163	1447
468	21203	1401
469	21243	1355
470	21284	1310
471	21329	1265
472	21370	1219
473	21413	1174
474	21454	1129
475	21494	1083
476	21535	1038
477	21576	993
478	21619	947
479	21659	902
480	21697	857
481	21736	811
482	21775	766
483	21816	721
484	21855	675
485	21894	630
486	21933	585
487	21974	540
488	22019	495
489	22060	450
490	22106	405
491	22149	360
492	22192	315
493	22238	270
494	22280	225
495	22320	180
496	22359	134
497	22397	89
498	22438	44
499	22478	0
